"player_name","team","position","points","start_percent"
"Zach Charbonnet","Sea","RB",12.4,0.043
"Michael Penix Jr.","Atl","QB",18.72,0.039
"Giants D/ST","NYG","D/ST",6,0.037
"Jaxson Dart","NYG","QB",19.84,0.037
"Rashod Bateman","Bal","WR",3.4,0.036
"Panthers D/ST","Car","D/ST",-2,0.036
"Aaron Rodgers","Pit","QB",12.8,0.036
"Tyquan Thornton","KC","WR",8.1,0.032
"Daniel Carlson","LV","K",5,0.031
"Carson Wentz","Min","QB",21.2,0.031
"Bengals D/ST","Cin","D/ST",-5,0.03
"Nick Folk","NYJ","K",11,0.029
"Sam Darnold","Sea","QB",16.08,0.029
"Eddy Pineiro","SF","K",7,0.027
"Bryce Young","Car","QB",10.3,0.022
"Dolphins D/ST","Mia","D/ST",5,0.022
"Jerome Ford","Cle","RB",1.3,0.02
"Rachaad White","TB","RB",8.6,0.02
"Cedric Tillman","Cle","WR",1.6,0.017
"Kaleb Johnson","Pit","RB",2.2,0.017
"Devin Singletary","NYG","RB",2.8,0.016
"Calvin Austin III","Pit","WR",3.3,0.016
"Tyler Allgeier","Atl","RB",11.1,0.015
"Cowboys D/ST","Dal","D/ST",-1,0.015
"Dontayvion Wicks","GB","WR",3.9,0.015
"Josh Downs","Ind","WR",6.4,0.015
"Sterling Shepard","TB","WR",4,0.015
"Jake Browning","Cin","QB",5.4,0.014
"Bhayshul Tuten","Jax","RB",3.2,0.014
"Brian Robinson Jr.","SF","RB",2.1,0.014
"Browns D/ST","Cle","D/ST",3,0.013
"Cade Otton","TB","TE",3.9,0.013
"Ollie Gordon II","Mia","RB",1,0.012
"Pat Freiermuth","Pit","TE",0,0.012
"Cam Ward","Ten","QB",4.52,0.012
"Marvin Mims Jr.","Den","WR",20.5,0.011
"Justice Hill","Bal","RB",28.7,0.01
"Dylan Sampson","Cle","RB",-0.2,0.01
"Blake Corum","LAR","RB",3.6,0.01
"Rico Dowdle","Car","RB",4,0.009
"KaVontae Turpin","Dal","WR",6.4,0.009
"Braelon Allen","NYJ","RB",0.6,0.009
"Tory Horton","Sea","WR",2,0.009
"Jake Tonges","SF","TE",14.8,0.009
"Russell Wilson","NYG","QB",0.32,0.008
"Jeremy McNichols","Wsh","RB",1.3,0.008
"Parker Romo","Atl","K",10,0.007
"Luther Burden III","Chi","WR",1.6,0.007
"Chad Ryland","Ari","K",10,0.006
"DeAndre Hopkins","Bal","WR",0,0.006
"Kayshon Boutte","NE","WR",2.8,0.006
"Tank Bigsby","Phi","RB",0,0.006
"Isaiah Likely","Bal","TE",0,0.005
"Hunter Renfrow","Car","WR",3,0.005
"Kyle Monangai","Chi","RB",1.8,0.005
"Jayden Higgins","Hou","WR",9.4,0.005
"JuJu Smith-Schuster","KC","WR",13.6,0.005
"Adam Thielen","Min","WR",3.1,0.005
"Andy Borregales","NE","K",6,0.005
"Spencer Rattler","NO","QB",13.94,0.005
"Miles Sanders","Dal","RB",4.5,0.005
"Chimere Dike","Ten","WR",-0.4,0.005
"Joshua Palmer","Buf","WR",4.5,0.004
"Ryan Fitzgerald","Car","K",0,0.004
"Cole Kmet","Chi","TE",7.6,0.004
"Mike Gesicki","Cin","TE",1.8,0.004
"Jalen Tolbert","Dal","WR",10.1,0.004
"Oronde Gadsden II","LAC","TE",3.6,0.004
"Raiders D/ST","LV","D/ST",5,0.004
"Malik Washington","Mia","WR",4.1,0.004
"Kendre Miller","NO","RB",12.5,0.004
"Mason Taylor","NYJ","TE",11.5,0.004
"Titans D/ST","Ten","D/ST",1,0.004
"Chris Rodriguez Jr.","Wsh","RB",5.9,0.004
"Ray Davis","Buf","RB",0.3,0.003
"Joe Flacco","Cle","QB",1.26,0.003
"Dont'e Thornton Jr.","LV","WR",0,0.003
"Darren Waller","Mia","TE",17.7,0.003
"DeMario Douglas","NE","WR",0,0.003
"Saints D/ST","NO","D/ST",3,0.003
"Blake Grupe","NO","K",9,0.003
"Emari Demercado","Ari","RB",10.1,0.002
"Michael Wilson","Ari","WR",4.5,0.002
"Theo Johnson","NYG","TE",10.7,0.002
"Darius Slayton","NYG","WR",7.4,0.002
"Will Shipley","Phi","RB",0,0.002
"Tyler Higbee","LAR","TE",4.5,0.002
"Ray-Ray McCloud III","Atl","WR",0.3,0.001
"Dawson Knox","Buf","TE",0,0.001
"Ty Johnson","Buf","RB",0,0.001
"Trevor Etienne","Car","RB",3.3,0.001
"Tommy Tremble","Car","TE",15.2,0.001
"Olamide Zaccheaus","Chi","WR",9.1,0.001
"Roschon Johnson","Chi","RB",0,0.001
"Samaje Perine","Cin","RB",0.4,0.001
"Andrei Iosivas","Cin","WR",3.7,0.001
"Andre Szmyt","Cle","K",3,0.001
"Pat Bryant","Den","WR",0,0.001
"Isaac TeSlaa","Det","WR",0,0.001
"Emanuel Wilson","GB","RB",11.1,0.001
"Chris Brooks","GB","RB",1.1,0.001
"Adonai Mitchell","Ind","WR",10.6,0.001
"DJ Giddens","Ind","RB",0,0.001
"Parker Washington","Jax","WR",5.9,0.001
"Noah Gray","KC","TE",1.1,0.001
"Tre' Harris","LAC","WR",0,0.001
"Hassan Haskins","LAC","RB",0,0.001
"Tutu Atwell","LAR","WR",15.8,0.001
"Jack Bech","LV","WR",0,0.001
"Raheem Mostert","LV","RB",8.3,0.001
"Riley Patterson","Mia","K",10,0.001
"Nick Westbrook-Ikhine","Mia","WR",1.1,0.001
"Jalen Nailor","Min","WR",9.2,0.001
"Zavier Scott","Min","RB",16.4,0.001
"Myles Price","Min","WR",0,0.001
