"player_name","team","position","points","start_percent"
"KaVontae Turpin","Dal","WR",15.3,0.003
"Miles Sanders","Dal","RB",9.9,0.003
"Tyler Higbee","LAR","TE",7.7,0.003
"Theo Johnson","NYG","TE",7.4,0.003
"Panthers D/ST","Car","D/ST",5,0.003
"Mike Gesicki","Cin","TE",4.8,0.003
"Dont'e Thornton Jr.","LV","WR",3,0.003
"Michael Mayer","LV","TE",2.9,0.003
"Ray Davis","Buf","RB",2.4,0.003
"Mason Taylor","NYJ","TE",1.5,0.003
"Titans D/ST","Ten","D/ST",1,0.003
"Spencer Rattler","NO","QB",21.68,0.002
"Tyquan Thornton","KC","WR",13.9,0.002
"Ja'Tavion Sanders","Car","TE",12.4,0.002
"Malik Washington","Mia","WR",9.5,0.002
"Michael Wilson","Ari","WR",8.1,0.002
"Darius Slayton","NYG","WR",8.1,0.002
"Elijah Arroyo","Sea","TE",5.1,0.002
"Cole Kmet","Chi","TE",4.9,0.002
"Tre Tucker","LV","WR",4.9,0.002
"Isaac TeSlaa","Det","WR",3.9,0.002
"Rico Dowdle","Car","RB",2.9,0.002
"Ray-Ray McCloud III","Atl","WR",0,0.002
"Troy Franklin","Den","WR",24,0.001
"Hunter Renfrow","Car","WR",23.8,0.001
"Parker Romo","Atl","K",18,0.001
"Dyami Brown","Jax","WR",17.6,0.001
"Tory Horton","Sea","WR",11.2,0.001
"Riley Patterson","Mia","K",11,0.001
"Alec Pierce","Ind","WR",10.8,0.001
"AJ Barner","Sea","TE",10.8,0.001
"Blake Corum","LAR","RB",10.4,0.001
"Sterling Shepard","TB","WR",7.4,0.001
"Woody Marks","Hou","RB",6.1,0.001
"Jalen Nailor","Min","WR",6.1,0.001
"Chris Brooks","GB","RB",5.7,0.001
"Tre' Harris","LAC","WR",5.4,0.001
"Andre Szmyt","Cle","K",5,0.001
"Kyle Monangai","Chi","RB",4.6,0.001
"Brandin Cooks","NO","WR",4.6,0.001
"Olamide Zaccheaus","Chi","WR",4.1,0.001
"Dawson Knox","Buf","TE",3.9,0.001
"Pat Bryant","Den","WR",3.8,0.001
"Nick Westbrook-Ikhine","Mia","WR",3.8,0.001
"Tyler Lockett","Ten","WR",2.9,0.001
"Chimere Dike","Ten","WR",2.8,0.001
"Andrei Iosivas","Cin","WR",2.2,0.001
"Kendre Miller","NO","RB",2,0.001
"AJ Dillon","Phi","RB",1.9,0.001
"Noah Brown","Wsh","WR",1.9,0.001
"Will Dissly","LAC","TE",1.7,0.001
"Grant Calcaterra","Phi","TE",1.6,0.001
"Luther Burden III","Chi","WR",1.5,0.001
"Kyle Juszczyk","SF","RB",1.5,0.001
"Jahan Dotson","Phi","WR",1.4,0.001
"Trevor Etienne","Car","RB",1.2,0.001
"Noah Gray","KC","TE",1.1,0.001
"Ty Johnson","Buf","RB",0.6,0.001
"Roschon Johnson","Chi","RB",0,0.001
"Samaje Perine","Cin","RB",0,0.001
"Emanuel Wilson","GB","RB",0,0.001
"DJ Giddens","Ind","RB",0,0.001
"Tutu Atwell","LAR","WR",0,0.001
"Isaac Guerendo","SF","RB",0,0.001
"Julius Chestnut","Ten","RB",0,0.001
"Jaxson Dart","NYG","QB",-0.3,0.001
