"player_name","team","position","points","start_percent"
"Blake Corum","LAR","RB",5.3,0.004
"KaVontae Turpin","Dal","WR",8.8,0.004
"Theo Johnson","NYG","TE",2,0.004
"Braelon Allen","NYJ","RB",6.7,0.004
"Tyler Higbee","LAR","TE",0,0.004
"Ollie Gordon II","Mia","RB",9.8,0.004
"Mike Gesicki","Cin","TE",1.6,0.004
"DeMario Douglas","NE","WR",2.7,0.004
"Chimere Dike","Ten","WR",3.5,0.004
"Ray Davis","Buf","RB",0,0.003
"Blake Grupe","NO","K",6,0.003
"Ryan Fitzgerald","Car","K",15,0.003
"Jeremy McNichols","Wsh","RB",13.8,0.003
"Titans D/ST","Ten","D/ST",-4,0.003
"Joe Flacco","Cle","QB",3.68,0.003
"Mason Taylor","NYJ","TE",5.8,0.003
"Panthers D/ST","Car","D/ST",17,0.003
"Woody Marks","Hou","RB",4.6,0.002
"Rico Dowdle","Car","RB",10.8,0.002
"Cole Kmet","Chi","TE",8,0.002
"Dont'e Thornton Jr.","LV","WR",4.9,0.002
"Malik Washington","Mia","WR",6.2,0.002
"Jalen Nailor","Min","WR",6.7,0.002
"Michael Wilson","Ari","WR",1.5,0.002
"Sterling Shepard","TB","WR",12,0.002
"Tre Tucker","LV","WR",40.9,0.002
"Darius Slayton","NYG","WR",7,0.002
"Kendre Miller","NO","RB",5.6,0.002
"Isaac TeSlaa","Det","WR",0,0.002
"Elijah Arroyo","Sea","TE",0,0.002
"AJ Barner","Sea","TE",3.3,0.001
"Adam Trautman","Den","TE",0,0.001
"Michael Mayer","LV","TE",0,0.001
"Noah Gray","KC","TE",4.7,0.001
"Dawson Knox","Buf","TE",0,0.001
"Andre Szmyt","Cle","K",9,0.001
"Luther Burden III","Chi","WR",19.8,0.001
"Ray-Ray McCloud III","Atl","WR",4,0.001
"Tyler Lockett","Ten","WR",7.7,0.001
"Olamide Zaccheaus","Chi","WR",6.6,0.001
"Antonio Gibson","NE","RB",0.8,0.001
"Kendrick Bourne","SF","WR",7.8,0.001
"Samaje Perine","Cin","RB",0.1,0.001
"Tre' Harris","LAC","WR",0,0.001
"Trevor Etienne","Car","RB",-2,0.001
"Alec Pierce","Ind","WR",10.7,0.001
"Zavier Scott","Min","RB",6,0.001
"Jahan Dotson","Phi","WR",1.7,0.001
"Luke Musgrave","GB","TE",0,0.001
"Anthony Richardson Sr.","Ind","QB",-0.1,0.001
"Chris Brooks","GB","RB",0,0.001
"Ty Johnson","Buf","RB",3.1,0.001
"Riley Patterson","Mia","K",3,0.001
"George Holani","Sea","RB",4.2,0.001
"Tory Horton","Sea","WR",18.2,0.001
"Kyle Juszczyk","SF","RB",7.1,0.001
"Nick Westbrook-Ikhine","Mia","WR",0,0.001
"Tutu Atwell","LAR","WR",0,0.001
"AJ Dillon","Phi","RB",0,0.001
"Brandin Cooks","NO","WR",5.4,0.001
"Jaxson Dart","NYG","QB",0.3,0.001
"Roschon Johnson","Chi","RB",0,0.001
"Isaac Guerendo","SF","RB",0,0.001
"Zamir White","LV","RB",3.3,0.001
"Chris Rodriguez Jr.","Wsh","RB",3.9,0.001
"Andrei Iosivas","Cin","WR",0,0.001
"Tyler Conklin","LAC","TE",0,0.001
"Parker Washington","Jax","WR",7.4,0.001
"Luke Farrell","SF","TE",0,0.001
"Jack Bech","LV","WR",2,0.001
"DJ Giddens","Ind","RB",0.3,0.001
"Cam Akers","Min","RB",1.9,0.001
"Pat Bryant","Den","WR",0,0.001
