"player_name","team","position","proj","points","start_percent"
"KaVontae Turpin","Dal","WR",5.9,4.7,0.003
"Panthers D/ST","Car","D/ST",3.6,1,0.003
"Saints D/ST","NO","D/ST",3.6,9,0.003
"Titans D/ST","Ten","D/ST",4.2,9,0.003
"Tyler Higbee","LAR","TE",7,0,0.003
"Juwan Johnson","NO","TE",7.3,15.6,0.003
"Dameon Pierce","Hou","RB",5.5,0.5,0.003
"Joey Slye","Ten","K",7,15,0.002
"Elijah Arroyo","Sea","TE",4.9,1.7,0.002
"Ray-Ray McCloud III","Atl","WR",8.6,8.1,0.002
"Darius Slayton","NYG","WR",7.3,0,0.002
"Kenneth Gainwell","Pit","RB",6.5,5.3,0.002
"Calvin Austin III","Pit","WR",6.1,17,0.002
"Andre Szmyt","Cle","K",7.3,4,0.002
"Rico Dowdle","Car","RB",5,3.6,0.002
"Ja'Tavion Sanders","Car","TE",6,4.7,0.002
"Tyler Lockett","Ten","WR",6.1,0,0.002
"Luther Burden III","Chi","WR",3.2,0.7,0.002
"Woody Marks","Hou","RB",5.3,0.3,0.002
"JuJu Smith-Schuster","KC","WR",5.5,10.5,0.002
"Michael Wilson","Ari","WR",6.7,1.5,0.002
"Isaac TeSlaa","Det","WR",3.3,8.3,0.002
"Spencer Rattler","NO","QB",14.1,11.46,0.002
"Tre' Harris","LAC","WR",5.9,2.1,0.002
"Miles Sanders","Dal","RB",6.7,4,0.001
"Hunter Renfrow","Car","WR",6.9,3.1,0.001
"Cole Kmet","Chi","TE",2.5,4.1,0.001
"Harold Fannin Jr.","Cle","TE",3.4,13.6,0.001
"Kendre Miller","NO","RB",4.8,2.4,0.001
"Elic Ayomanor","Ten","WR",5.5,3.3,0.001
"Blake Corum","LAR","RB",4.1,2.6,0.001
"Noah Fant","Cin","TE",5,12.6,0.001
"Nick Westbrook-Ikhine","Mia","WR",6.8,1.7,0.001
"Dawson Knox","Buf","TE",2.8,4,0.001
"Noah Gray","KC","TE",4.7,1.3,0.001
"Tutu Atwell","LAR","WR",6.4,1.4,0.001
"Pat Bryant","Den","WR",5.6,0,0.001
"Dyami Brown","Jax","WR",6.5,8.8,0.001
"Isaac Guerendo","SF","RB",2,0,0.001
"Samaje Perine","Cin","RB",3.9,2.6,0.001
"Jahan Dotson","Phi","WR",1.6,8.9,0.001
"Kayshon Boutte","NE","WR",4.1,16.3,0.001
"Kyle Juszczyk","SF","RB",1.5,5.2,0.001
"Andrei Iosivas","Cin","WR",4.2,0,0.001
"Tory Horton","Sea","WR",4.5,0,0.001
"Troy Franklin","Den","WR",4.7,8.4,0.001
"Tre Tucker","LV","WR",5.5,13.4,0.001
"AJ Barner","Sea","TE",5.5,1.2,0.001
"Emanuel Wilson","GB","RB",3.1,0.4,0.001
"Jack Bech","LV","WR",2.3,3.3,0.001
"Josh Reynolds","NYJ","WR",5.7,3.8,0.001
"Trevor Etienne","Car","RB",1.4,0.4,0.001
"Brandin Cooks","NO","WR",4,5.6,0.001
"Kyle Williams","NE","WR",3.2,2.2,0.001
"Michael Mayer","LV","TE",4.3,7.8,0.001
"Will Dissly","LAC","TE",5.6,2.8,0.001
"Jalen Nailor","Min","WR",3.5,3.8,0.001
"Adonai Mitchell","Ind","WR",5,4.1,0.001
"Noah Brown","Wsh","WR",5.7,4.7,0.001
"AJ Dillon","Phi","RB",0.7,1,0.001
"Malik Washington","Mia","WR",3.7,4.9,0.001
"Kyle Monangai","Chi","RB",2.9,2.1,0.001
"Ty Johnson","Buf","RB",3.1,2.4,0.001
"Riley Patterson","Mia","K",7.4,0,0.001
"Julius Chestnut","Ten","RB",3.3,0.2,0.001
"Alec Pierce","Ind","WR",4.2,4.6,0.001
