player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
Keenan Allen,LAC,WR,FA,,@NYG,L 18-21,--,8.7,31st,59.8,88.4,3.3,65.1,16.3,--
Chargers D/ST,LAC,D/ST,FA,,@NYG,L 18-21,--,8,15th,59.2,63.4,51,28,7,--
Jordan Mason,Min,RB,FA,,@Pit,L 21-24,--,10.2,13th,59,87.2,2.4,48.1,12,--
George Pickens,Dal,WR,FA,,GB,T 40-40,--,33.4,5th,58.8,93.6,1,75,18.8,--
Matt Prater,Buf,K,FA,,NO,W 31-19,--,7,29th,58.3,60.4,6.3,40,10,--
D'Andre Swift,Chi,RB,FA,,@LV,W 25-24,--,16,10th,57.7,94,-0.5,50.2,12.6,--
Bo Nix,Den,QB,FA,,Cin,W 28-3,--,25.74,19th,57.5,89.3,-0.2,66.24,16.6,--
David Montgomery,Det,RB,FA,,Cle,W 34-10,--,1.2,2nd,57.3,94.6,0.5,52,13,--
Caleb Williams,Chi,QB,FA,,@LV,W 25-24,--,11.78,21st,56,89,8.7,82.08,20.5,--
Javonte Williams,Dal,RB,FA,,GB,T 40-40,--,19,8th,54.7,92.9,-0.1,76.6,19.2,--
Juwan Johnson,NO,TE,FA,,@Buf,L 19-31,--,5.8,2nd,54.1,80.7,1.6,48.4,12.1,--
Patriots D/ST,NE,D/ST,FA,,Car,W 42-13,--,10,23rd,50.1,56.7,7.7,31,7.8,--
Tetairoa McMillan,Car,WR,FA,,@NE,L 13-42,--,10.2,26th,49.9,92.9,-0.4,45.8,11.5,--
Daniel Jones,Ind,QB,FA,,@LAR,L 20-27,--,10.38,17th,49.6,83.2,4,78.52,19.6,--
Cam Skattebo,NYG,RB,FA,,LAC,W 21-18,--,13,5th,49.2,89.2,10.2,53.9,13.5,--
Tony Pollard,Ten,RB,FA,,@Hou,L 0-26,--,10.6,24th,49.2,90.9,-0.6,41.6,10.4,--
David Njoku,Cle,TE,FA,,@Det,L 10-34,--,3.1,28th,48.8,85.3,-3.3,26.8,6.7,--
Deebo Samuel,Wsh,WR,FA,,@Atl,L 27-34,--,20.1,4th,48.8,89.8,-0.2,65,16.3,--
Marvin Harrison Jr.,Ari,WR,FA,,Sea,L 20-23,--,18.6,2nd,48.3,96.2,-1,48.8,12.2,--
DJ Moore,Chi,WR,FA,,@LV,W 25-24,--,7.8,30th,47.7,93.1,-0.6,38.8,9.7,--
Tee Higgins,Cin,WR,FA,,@Den,L 3-28,--,6.2,8th,47.4,97.2,-1.7,29.6,7.4,--
Mark Andrews,Bal,TE,FA,,@KC,L 20-37,--,10,3rd,47,86.4,3.9,40,10,--
Kyler Murray,Ari,QB,FA,,Sea,L 20-23,--,16.1,6th,46.3,87.6,-2.2,62.48,15.6,--
Jordan Love,GB,QB,FA,,@Dal,T 40-40,--,26.28,32nd,45.9,83.8,5.1,74.2,18.6,--
Cam Little,Jax,K,FA,,@SF,W 26-21,--,8,4th,45.9,51,-6.1,37,9.3,--
Eagles D/ST,Phi,D/ST,FA,,@TB,W 31-25,--,13,15th,45.7,63.4,-0.7,34,8.5,--
Hunter Henry,NE,TE,FA,,Car,W 42-13,--,11.9,25th,45.3,70.4,21.5,53.4,13.4,--
Chris Olave,NO,WR,FA,,@Buf,L 19-31,--,9,9th,44.3,88.8,2.1,48.5,12.1,--
Spencer Shrader,Ind,K,FA,,@LAR,L 20-27,--,10,28th,44.2,47.1,18.3,54,13.5,--
Quinshon Judkins,Cle,RB,FA,,@Det,L 10-34,--,21.5,9th,42.1,84,14.5,48.1,16,--
Ravens D/ST,Bal,D/ST,FA,,@KC,L 20-37,--,-3,9th,42,69.7,-13.3,-1,-0.3,--
Jaylen Warren,Pit,RB,FA,,Min,W 24-21,--,--,10th,41.6,91.9,0.7,44.4,14.8,--
DeVonta Smith,Phi,WR,FA,,@TB,W 31-25,--,4.9,12th,39.3,92.7,0.1,38.8,9.7,--
Dalton Kincaid,Buf,TE,FA,,NO,W 31-19,--,9.8,19th,37.9,77.4,6.8,49.9,12.5,--
Trey Benson,Ari,RB,FA,,Sea,L 20-23,--,10.4,23rd,36.1,78.5,23.7,35.4,8.9,--
Drake Maye,NE,QB,FA,,Car,W 42-13,--,23.22,1st,35.7,78.4,1,84.52,21.1,--
Jaylen Waddle,Mia,WR,FA,,NYJ,W 27-21,--,7.8,22nd,34.9,91.2,0.3,47.5,11.9,--
Travis Etienne Jr.,Jax,RB,FA,,@SF,W 26-21,--,19.5,7th,32.8,87.9,-0.7,66.6,16.7,--
Cairo Santos,Chi,K,FA,,@LV,W 25-24,--,19,20th,32.6,36.5,-0.8,35,8.8,--
Zach Ertz,Wsh,TE,FA,,@Atl,L 27-34,--,6.1,1st,30.4,69.5,-1.4,42.9,10.7,--
Michael Pittman Jr.,Ind,WR,FA,,@LAR,L 20-27,--,15.1,19th,30,86.4,1.5,62.4,15.6,--
Jared Goff,Det,QB,FA,,Cle,W 34-10,--,12.72,15th,29.6,77.1,-0.6,70.26,17.6,--
Jameson Williams,Det,WR,FA,,Cle,W 34-10,--,5.7,9th,29.3,90.9,-1.3,37.4,9.4,--
Ka'imi Fairbairn,Hou,K,FA,,Ten,W 26-0,--,9,18th,28.9,33,-5.2,35,8.8,--
Ricky Pearsall,SF,WR,FA,,Jax,L 21-26,--,8.6,27th,28.7,86,1,52.3,13.1,--
Colts D/ST,Ind,D/ST,FA,,@LAR,L 20-27,--,0,19th,28,40.1,-8.3,31,7.8,--
Nick Chubb,Hou,RB,FA,,Ten,W 26-0,--,8.2,30th,26.6,79,0.6,36.4,9.1,--
Tre Tucker,LV,WR,FA,,Chi,L 24-25,--,4.2,29th,26.1,67.3,65.3,63.4,15.9,--
TreVeyon Henderson,NE,RB,FA,,Car,W 42-13,--,12.6,17th,25.5,90.6,-2,37.4,9.4,--
