player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
Tony Pollard,Ten,RB,FA,,LAR,L 19-33,--,9.2,3rd,50.5,92,-1,17.1,8.6,--
Bo Nix,Den,QB,FA,,@Ind,L 28-29,--,20.24,3rd,49.2,90.9,-4.1,27.08,13.5,--
Cardinals D/ST,Ari,D/ST,FA,,Car,W 27-22,--,12,28th,48.9,54.2,-6.9,16,8,--
Justin Herbert,LAC,QB,FA,,@LV,Mon 9:00 PM,--,18.78,15th,48.6,91.1,3.6,27.92,27.9,--
Kenneth Walker III,Sea,RB,FA,,@Pit,W 31-17,--,18.8,27th,47,96.3,-1.6,24.2,12.1,--
Tucker Kraft,GB,TE,FA,,Wsh,W 27-18,--,24.4,4th,46.9,85.5,1.2,34.3,17.2,--
49ers D/ST,SF,D/ST,FA,,@NO,W 26-21,--,5,14th,46.8,51,32,15,7.5,--
Patriots D/ST,NE,D/ST,FA,,@Mia,W 33-27,--,12,31st,45.5,53.4,-17.1,17,8.5,--
Aaron Jones Sr.,Min,RB,FA,,Atl,L 6-22,--,2.3,15th,44.4,92.3,-1,18,9,--
Travis Etienne Jr.,Jax,RB,FA,,@Cin,L 27-31,--,16.9,26th,43.8,86.8,7.3,35.5,17.8,--
Jakobi Meyers,LV,WR,FA,,LAC,Mon 9:00 PM,--,12.8,23rd,43.6,90.1,0.3,17.7,17.7,--
Tetairoa McMillan,Car,WR,FA,,@Ari,L 22-27,--,16,16th,43.3,93.4,-1.1,27.8,13.9,--
Javonte Williams,Dal,RB,FA,,NYG,W 40-37,--,25,28th,42.1,88.2,5.9,45.4,22.7,--
Jerry Jeudy,Cle,WR,FA,,@Bal,L 17-41,--,9.1,31st,41,93,-1.3,20.7,10.4,--
Deebo Samuel,Wsh,WR,FA,,@GB,L 18-27,--,17.4,12th,39.8,88.8,1.1,40,20,--
Jaylen Warren,Pit,RB,FA,,Sea,L 17-31,--,17.4,32nd,39.4,89.1,0.1,31.3,15.7,--
Evan Engram,Den,TE,FA,,@Ind,L 28-29,--,2.2,5th,39.4,83.9,-8,7.3,3.7,--
Ka'imi Fairbairn,Hou,K,FA,,TB,Mon 6:00 PM,--,9,13th,37.2,41.3,1.4,14,14,--
DeVonta Smith,Phi,WR,FA,,@KC,W 20-17,--,9.3,32nd,36.7,93.7,-1.2,13.9,7,--
Cairo Santos,Chi,K,FA,,@Det,L 21-52,--,3,18th,36.4,41.1,-6.4,9,4.5,--
Travis Hunter,Jax,WR,FA,,@Cin,L 27-31,--,5.2,19th,35.6,93.9,-1,14.5,7.3,--
Justin Fields,NYJ,QB,FA,,Buf,L 10-30,--,3.98,29th,33.5,83.3,13,33.5,16.8,--
Matt Prater,Buf,K,FA,,@NYJ,W 30-10,--,14,29th,33.3,34.9,23.3,26,13,--
Jameson Williams,Det,WR,FA,,Chi,W 52-21,--,18.8,6th,32.5,92.2,-1.5,25.4,12.7,--
Matt Gay,Wsh,K,FA,,@GB,L 18-27,--,4,11th,31.5,36.8,-5.7,7,3.5,--
Dak Prescott,Dal,QB,FA,,NYG,W 40-37,--,22.14,20th,30.6,79.6,-3.6,29.96,15,--
Colts D/ST,Ind,D/ST,FA,,Den,W 29-28,--,1,23rd,30.6,36.6,4.4,15,7.5,--
Calvin Ridley,Ten,WR,FA,,LAR,L 19-33,--,8.7,8th,30.3,91.8,-2.1,15.4,7.7,--
Tyrone Tracy Jr.,NYG,RB,FA,,@Dal,L 37-40,--,9.1,19th,30,87.8,-2,14.6,7.3,--
Ricky Pearsall,SF,WR,FA,,@NO,W 26-21,--,9.2,7th,29.7,87.2,-0.2,24,12,--
Packers D/ST,GB,D/ST,FA,,Wsh,W 27-18,--,6,4th,28.9,44.8,7.3,17,8.5,--
George Pickens,Dal,WR,FA,,NYG,W 40-37,--,17.8,24th,28.6,92.4,-1.8,23.8,11.9,--
Hollywood Brown,KC,WR,FA,,Phi,L 17-20,--,8,17th,28.5,76.7,26.7,27.9,14,--
Juwan Johnson,NO,TE,FA,,SF,L 21-26,--,15.9,3rd,28.1,48.2,47,31.5,15.8,--
Hunter Henry,NE,TE,FA,,@Mia,W 33-27,--,1.9,27th,27.2,58.6,15.1,12.5,6.3,--
Rome Odunze,Chi,WR,FA,,@Det,L 21-52,--,31.8,20th,27,89.8,-1.2,47.5,23.8,--
Jake Ferguson,Dal,TE,FA,,NYG,W 40-37,--,16.8,15th,26.2,67.7,0.6,24.1,12.1,--
Kyle Pitts Sr.,Atl,TE,FA,,@Min,W 22-6,--,7.7,9th,25.7,68.6,3.6,20.6,10.3,--
Jaylen Waddle,Mia,WR,FA,,NE,L 27-33,--,17.8,29th,25.5,91.4,-2.5,24.8,12.4,--
Keenan Allen,LAC,WR,FA,,@LV,Mon 9:00 PM,--,17.1,27th,24.8,80.3,4.6,19.8,19.8,--
Keon Coleman,Buf,WR,FA,,@NYJ,W 30-10,--,5.6,24th,24.4,85.2,4,30.8,15.4,--
Isiah Pacheco,KC,RB,FA,,Phi,L 17-20,--,3.9,24th,23.8,91.5,-2.6,8.7,4.4,--
Drake Maye,NE,QB,FA,,@Mia,W 33-27,--,26.3,30th,23.5,70.7,-3.1,42.08,21,--
Dalton Kincaid,Buf,TE,FA,,@NYJ,W 30-10,--,7.7,28th,23.1,71.2,0.3,22.5,11.3,--
Wil Lutz,Den,K,FA,,@Ind,L 28-29,--,3,1st,21.1,23.4,-2.5,11,5.5,--
