player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
Emeka Egbuka,TB,WR,FA,,@Atl,W 23-20,13.5,23.6,--,42.2,90.1,1.6,23.6,23.6,--
Brock Purdy,SF,QB,FA,,@Sea,W 17-13,16.9,16.78,--,41.4,90.8,0.2,16.78,16.8,--
George Pickens,Dal,WR,FA,,@Phi,L 20-24,13.2,6,--,40.6,94.2,0.4,6,6,--
Jameson Williams,Det,WR,FA,,@GB,L 13-27,12.9,6.6,--,39,93.6,0.4,6.6,6.6,--
Tucker Kraft,GB,TE,FA,,Det,W 27-13,9.4,9.9,--,38.8,84.3,0.1,9.9,9.9,--
Jaylen Waddle,Mia,WR,FA,,@Ind,L 8-33,12.9,7,--,38.3,93.9,0.5,7,7,--
Justin Herbert,LAC,QB,FA,,KC,W 27-21,16.6,27.92,--,37.2,87.6,0.2,27.92,27.9,--
Matt Gay,Wsh,K,FA,,NYG,W 21-6,8.2,3,--,36.9,42.4,5.1,3,3,--
Bills D/ST,Buf,D/ST,FA,,Bal,W 41-40,3.1,-2,--,35.9,52.4,-6.6,-2,-2,--
player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
Ka'imi Fairbairn,Hou,K,FA,,@LAR,L 9-14,7.9,14,--,35.4,39.9,1.7,14,14,--
Travis Hunter,Jax,WR,FA,,Car,W 26-10,12.9,9.3,--,34.7,94.8,0.4,9.3,9.3,--
Calvin Ridley,Ten,WR,FA,,@Den,L 12-20,11.4,6.7,--,34.1,93.7,0.3,6.7,6.7,--
Dak Prescott,Dal,QB,FA,,@Phi,L 20-24,16.5,7.82,--,30,83,0.4,7.82,7.8,--
Jaylen Warren,Pit,RB,FA,,@NYJ,W 34-32,14.2,13.9,--,29.4,89,1.3,13.9,13.9,--
Colston Loveland,Chi,TE,FA,,Min,Mon 7:15 PM,8.8,3.2,--,27.6,81,-0.4,3.2,3.2,--
RJ Harvey,Den,RB,FA,,Ten,W 20-12,12.8,7.9,--,27.5,91.5,0.4,7.9,7.9,--
Tyler Bass,Buf,K,FA,,Bal,W 41-40,0,0,--,27.2,55.7,-29.6,--,--,--
Colts D/ST,Ind,D/ST,FA,,Mia,W 33-8,5.3,14,--,26.3,32.2,-1.6,14,14,--
Tyrone Tracy Jr.,NYG,RB,FA,,@Wsh,L 6-21,13.3,5.5,--,25.8,89.7,0.4,5.5,5.5,--
Jakobi Meyers,LV,WR,FA,,@NE,W 20-13,12.8,17.7,--,25.2,89.7,0.5,17.7,17.7,--
Ricky Pearsall,SF,WR,FA,,@Sea,W 17-13,13,14.8,--,24.8,87.3,1.4,14.8,14.8,--
Wil Lutz,Den,K,FA,,Ten,W 20-12,8.2,8,--,23.6,25.7,8.3,8,8,--
Dallas Goedert,Phi,TE,FA,,Dal,W 24-20,9.4,11.4,--,23.2,74.7,1.8,11.4,11.4,--
Packers D/ST,GB,D/ST,FA,,Det,W 27-13,3.9,11,--,22.7,37.6,3.2,11,11,--
Rome Odunze,Chi,WR,FA,,Min,Mon 7:15 PM,12.3,15.7,--,21.9,90.9,0.2,15.7,15.7,--
Deebo Samuel,Wsh,WR,FA,,NYG,W 21-6,11.9,22.6,--,21.7,87.7,0.5,22.6,22.6,--
Commanders D/ST,Wsh,D/ST,FA,,NYG,W 21-6,6.7,8,--,21.2,25.2,12.8,8,8,--
Drake Maye,NE,QB,FA,,LV,L 13-20,18,15.78,--,21,73.7,2.4,15.78,15.8,--
Jerome Ford,Cle,RB,FA,,Cin,L 16-17,13.9,1.5,--,20.1,75.2,6.5,1.5,1.5,--
Jets D/ST,NYJ,D/ST,FA,,Pit,L 32-34,6.4,5,--,19.4,23.9,-0.6,5,5,--
Jake Ferguson,Dal,TE,FA,,@Phi,L 20-24,9,7.3,--,17.5,67,0.2,7.3,7.3,--
Dalton Kincaid,Buf,TE,FA,,Bal,W 41-40,8.8,14.8,--,17.5,70.9,-1.4,14.8,14.8,--
Cooper Kupp,Sea,WR,FA,,SF,L 13-17,12.3,3.5,--,16.8,89.8,-0.1,3.5,3.5,--
Kyle Pitts Sr.,Atl,TE,FA,,TB,L 20-23,9.1,12.9,--,16.5,65,-0.3,12.9,12.9,--
Caleb Williams,Chi,QB,FA,,Min,Mon 7:15 PM,15.5,24.2,--,16.4,75.5,-2.2,24.2,24.2,--
Matthew Golden,GB,WR,FA,,Det,W 27-13,12.3,3.6,--,16.1,90.5,0.6,3.6,3.6,--
Travis Etienne Jr.,Jax,RB,FA,,Car,W 26-10,10.3,18.6,--,15.7,79.5,0.3,18.6,18.6,--
49ers D/ST,SF,D/ST,FA,,@Sea,W 17-13,6.3,10,--,15.6,19,2.8,10,10,--
Chris Olave,NO,WR,FA,,Ari,L 13-20,12.4,12.4,--,15.4,88.7,0.3,12.4,12.4,--
Evan McPherson,Cin,K,FA,,@Cle,W 17-16,7.9,5,--,14.4,16.8,0.1,5,5,--
Stefon Diggs,NE,WR,FA,,LV,L 13-20,12.1,11.7,--,14.3,89.4,0.6,11.7,11.7,--
Justin Fields,NYJ,QB,FA,,Pit,L 32-34,15.5,29.52,--,14.1,70.4,-2.8,29.52,29.5,--
Javonte Williams,Dal,RB,FA,,@Phi,L 20-24,11.3,20.4,--,13.2,82.3,0.4,20.4,20.4,--
C.J. Stroud,Hou,QB,FA,,@LAR,L 9-14,16.5,8.72,--,13.1,69.2,2.4,8.72,8.7,--
Buccaneers D/ST,TB,D/ST,FA,,@Atl,W 23-20,5.7,0,--,13,18.9,-0.6,0,0,--
Jared Goff,Det,QB,FA,,@GB,L 13-27,15.3,10.9,--,12.8,68.2,-2.2,10.9,10.9,--
Michael Pittman Jr.,Ind,WR,FA,,Mia,W 33-8,12,20,--,12.6,85.8,0.6,20,20,--
Trevor Lawrence,Jax,QB,FA,,Car,W 26-10,18,10.32,--,11.7,39.2,5.4,10.32,10.3,--
Bears D/ST,Chi,D/ST,FA,,Min,Mon 7:15 PM,6.7,13,--,11.6,14.5,4.3,13,13,--
J.K. Dobbins,Den,RB,FA,,Ten,W 20-12,10.6,14.8,--,11.6,85.4,1,14.8,14.8,--
Jordan Love,GB,QB,FA,,Det,W 27-13,14.9,15.92,--,11.4,67.6,0.6,15.92,15.9,--
Matt Prater,Buf,K,FA,,Bal,W 41-40,8.8,12,--,11.3,11.6,11.6,12,12,--
Jason Sanders,Mia,K,FA,,@Ind,L 8-33,0,0,--,10.8,18.4,-13.3,--,--,--
Chiefs D/ST,KC,D/ST,FA,,@LAC,L 21-27,5.3,2,--,10.7,16.5,-1.1,2,2,--
Jason Myers,Sea,K,FA,,SF,L 13-17,8.3,8,--,10.7,12.4,6.2,8,8,--
Keon Coleman,Buf,WR,FA,,Bal,W 41-40,12,25.2,--,10.4,81.3,-0.3,25.2,25.2,--
Keenan Allen,LAC,WR,FA,,KC,W 27-21,11,19.8,--,10.2,75.6,0.7,19.8,19.8,--
Giants D/ST,NYG,D/ST,FA,,@Wsh,L 6-21,5.2,0,--,9.8,14.9,-2,0,0,--
Austin Ekeler,Wsh,RB,FA,,NYG,W 21-6,11.9,8.7,--,9.8,85,1.1,8.7,8.7,--
player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
J.J. McCarthy,Min,QB,FA,,@Chi,Mon 7:15 PM,16.3,22.22,--,9.6,66.5,-0.9,22.22,22.2,--
Joshua Karty,LAR,K,FA,,Hou,W 14-9,7.9,2,--,9.3,11.6,0.1,2,2,--
Brandon McManus,GB,K,FA,,Det,W 27-13,7.9,9,--,9.3,11.4,1.2,9,9,--
Hollywood Brown,KC,WR,FA,,@LAC,L 21-27,12.2,19.9,--,9.1,50.1,8.5,19.9,19.9,--
Jacory Croskey-Merritt,Wsh,RB,FA,,NYG,W 21-6,9.5,14.2,--,8.7,82.3,2.7,14.2,14.2,--
Hunter Henry,NE,TE,FA,,LV,L 13-20,8.8,10.6,--,8.4,43.5,0.9,10.6,10.6,--
Nick Chubb,Hou,RB,FA,,@LAR,L 9-14,9.3,6,--,7.8,75.2,2.9,6,6,--
Zach Ertz,Wsh,TE,FA,,NYG,W 21-6,8.9,11.6,--,7.6,40.6,0.5,11.6,11.6,--
Khalil Shakir,Buf,WR,FA,,Bal,W 41-40,11.7,12.4,--,7.2,81.3,0,12.4,12.4,--
Rhamondre Stevenson,NE,RB,FA,,LV,L 13-20,11.2,4.7,--,7.1,81.4,0.7,4.7,4.7,--
Jauan Jennings,SF,WR,FA,,@Sea,W 17-13,12.5,3.6,--,6.9,81.1,0.5,3.6,3.6,--
Rashee Rice,KC,WR,FA,,@LAC,L 21-27,0,0,--,6,89.8,-2.1,--,--,--
Younghoe Koo,Atl,K,FA,,TB,L 20-23,7.5,8,--,5.9,7.6,-0.2,8,8,--
Rams D/ST,LAR,D/ST,FA,,Hou,W 14-9,5.6,12,--,5.5,7.3,0.8,12,12,--
Will Reichard,Min,K,FA,,@Chi,Mon 7:15 PM,7.8,9,--,5.2,6.3,0.6,9,9,--
Dolphins D/ST,Mia,D/ST,FA,,@Ind,L 8-33,6.6,-3,--,4.8,5.9,1.6,-3,-3,--
Jonnu Smith,Pit,TE,FA,,@NYJ,W 34-32,7.6,12.5,--,4.1,22.6,-1,12.5,12.5,--
Kaleb Johnson,Pit,RB,FA,,@NYJ,W 34-32,5.1,-0.2,--,4.1,83.6,-2.7,-0.2,-0.2,--
Cam Skattebo,NYG,RB,FA,,@Wsh,L 6-21,5.5,2.9,--,3.9,81.3,-0.3,2.9,2.9,--
Tua Tagovailoa,Mia,QB,FA,,@Ind,L 8-33,15.4,5.26,--,3.7,31.4,-0.8,5.26,5.3,--
Brenton Strange,Jax,TE,FA,,Car,W 26-10,8.4,9.9,--,3.7,20.1,1.9,9.9,9.9,--
Joe Mixon,Hou,RB,FA,,@LAR,L 9-14,0,0,--,3.6,70,-5.5,--,--,--
Jordan Mason,Min,RB,FA,,@Chi,Mon 7:15 PM,8,8.5,--,3.6,74,0.8,8.5,8.5,--
Rashid Shaheed,NO,WR,FA,,Ari,L 13-20,10.6,9.3,--,3.3,69.9,-0.8,9.3,9.3,--
Daniel Carlson,LV,K,FA,,@NE,W 20-13,7.6,10,--,3.3,4.1,-0.1,10,10,--
Bengals D/ST,Cin,D/ST,FA,,@Cle,W 17-16,6.1,7,--,3.2,4,1.3,7,7,--
Matthew Stafford,LAR,QB,FA,,Hou,W 14-9,14.9,13.6,--,3.2,32.2,-0.3,13.6,13.6,--
Zach Charbonnet,Sea,RB,FA,,SF,L 13-17,8.6,10.7,--,2.9,70.7,1.2,10.7,10.7,--
Nick Folk,NYJ,K,FA,,Pit,L 32-34,7.8,10,--,2.9,4.2,0.7,10,10,--
Adam Thielen,Min,WR,FA,,@Chi,Mon 7:15 PM,11.2,2,--,2.8,44.2,0.9,2,2,--
Dylan Sampson,Cle,RB,FA,,Cin,L 16-17,9.5,17.3,--,2.8,32.8,6.2,17.3,17.3,--
Cade Otton,TB,TE,FA,,@Atl,W 23-20,8.8,0,--,2.7,19.6,-0.9,0,0,--
Jayden Reed,GB,WR,FA,,Det,W 27-13,11.2,13.5,--,2.6,70.8,-1.1,13.5,13.5,--
Cedric Tillman,Cle,WR,FA,,Cin,L 16-17,10.7,16.2,--,2.5,42.6,2.1,16.2,16.2,--
Michael Penix Jr.,Atl,QB,FA,,TB,L 20-23,14.8,24.02,--,2.4,20.1,0.3,24.02,24,--
Tank Bigsby,Phi,RB,FA,,Dal,W 24-20,8.6,1.2,--,2.4,69.5,-1.1,1.2,1.2,--
Jaguars D/ST,Jax,D/ST,FA,,Car,W 26-10,6.4,12,--,2.1,2.9,0.9,12,12,--
Cowboys D/ST,Dal,D/ST,FA,,@Phi,L 20-24,3.4,1,--,2,3.7,-0.5,1,1,--
Josh Downs,Ind,WR,FA,,Mia,W 33-8,10.7,3.2,--,2,66.8,1.3,3.2,3.2,--
Jake Moody,SF,K,FA,,@Sea,W 17-13,7.1,3,--,1.7,2.6,-0.1,3,3,--
Bryce Young,Car,QB,FA,,@Jax,L 10-26,15.6,8.16,--,1.7,14.6,-0.1,8.16,8.2,--
Brian Robinson Jr.,SF,RB,FA,,@Sea,W 17-13,4.1,4.7,--,1.7,52.9,2.9,4.7,4.7,--
Xavier Legette,Car,WR,FA,,@Jax,L 10-26,9.8,4,--,1.6,56.2,2.8,4,4,--
Chargers D/ST,LAC,D/ST,FA,,KC,W 27-21,3.8,2,--,1.6,3.2,-0.4,2,2,--
Marvin Mims Jr.,Den,WR,FA,,Ten,W 20-12,8.8,2.2,--,1.5,38.5,0.3,2.2,2.2,--
Quinshon Judkins,Cle,RB,FA,,Cin,L 16-17,0,0,--,1.4,55.5,-3.6,--,--,--
Rashod Bateman,Bal,WR,FA,,@Buf,L 40-41,9.5,3,--,1.4,32,1.7,3,3,--
Daniel Jones,Ind,QB,FA,,Mia,W 33-8,17.1,29.48,--,1.4,4.9,1.1,29.48,29.5,--
Pat Freiermuth,Pit,TE,FA,,@NYJ,W 34-32,7.5,5.8,--,1.3,11.2,-0.7,5.8,5.8,--
Wan'Dale Robinson,NYG,WR,FA,,@Wsh,L 6-21,9.7,11.5,--,1.3,31.3,1.1,11.5,11.5,--
