player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
George Pickens,Dal,WR,FA,,@Chi,L 14-31,--,17.8,27th,45.4,92.6,0.2,41.6,13.9,--
Colts D/ST,Ind,D/ST,FA,,@Ten,W 41-20,--,16,30th,44,48.4,11.8,31,10.3,--
Courtland Sutton,Den,WR,FA,,@LAC,L 20-23,--,23.8,11th,42.4,93.5,-1.3,43.5,14.5,--
Keenan Allen,LAC,WR,FA,,Den,W 23-20,--,19.5,4th,42.4,85,4.8,56.4,18.8,--
Patriots D/ST,NE,D/ST,FA,,Pit,L 14-21,--,4,27th,41.5,49,-4.5,21,7,--
Jameson Williams,Det,WR,FA,,@Bal,W 38-30,--,6.3,19th,40.5,92.1,-0.1,31.7,10.6,--
Caleb Williams,Chi,QB,FA,,Dal,W 31-14,--,29.12,30th,39.8,80.3,8,70.3,23.4,--
player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
Zach Ertz,Wsh,TE,FA,,LV,W 41-24,--,6.8,5th,39.1,70.8,20.9,36.8,12.3,--
Emeka Egbuka,TB,WR,FA,,NYJ,W 29-27,--,14.5,16th,38.2,92.5,0.1,51,17,--
Mark Andrews,Bal,TE,FA,,Det,L 30-38,--,27.1,9th,38,82.5,-9.4,30,10,--
Drake Maye,NE,QB,FA,,Pit,L 14-21,--,19.22,28th,36.2,77.4,6.7,61.3,20.4,--
Lions D/ST,Det,D/ST,FA,,@Bal,W 38-30,--,8,4th,36.1,55.7,-14.8,18,6,--
Ka'imi Fairbairn,Hou,K,FA,,@Jax,L 10-17,--,3,6th,33.8,38.1,-3.2,26,8.7,--
Cairo Santos,Chi,K,FA,,Dal,W 31-14,--,7,22nd,33,37.3,-3.8,16,5.3,--
Jared Goff,Det,QB,FA,,@Bal,W 38-30,--,12.68,29th,32.3,77.7,15.6,57.54,19.2,--
DeVonta Smith,Phi,WR,FA,,LAR,W 33-26,--,20,8th,32.1,92.6,-1.1,33.9,11.3,--
Jordan Love,GB,QB,FA,,@Cle,L 10-13,--,11.12,20th,31.6,78.7,8,47.92,16,--
Quentin Johnston,LAC,WR,FA,,Den,W 23-20,--,14.9,4th,30.2,80.5,15.8,55.7,18.6,--
Kyle Pitts Sr.,Atl,TE,FA,,@Car,L 0-30,--,7.9,30th,29.9,69.7,1.1,28.5,9.5,--
Calvin Ridley,Ten,WR,FA,,Ind,L 20-41,--,3.7,17th,28.2,89.7,-2.1,19.1,6.4,--
Spencer Shrader,Ind,K,FA,,@Ten,W 41-20,--,10,12th,26.7,28.8,25.7,44,14.7,--
Keon Coleman,Buf,WR,FA,,Mia,W 31-21,--,5,12th,26.6,84.8,-0.4,35.8,11.9,--
Dalton Kincaid,Buf,TE,FA,,Mia,W 31-21,--,17.6,23rd,26.5,70.6,-0.6,40.1,13.4,--
Jerry Jeudy,Cle,WR,FA,,GB,W 13-10,--,2.7,15th,26.3,90.8,-2.1,23.4,7.8,--
TreVeyon Henderson,NE,RB,FA,,Pit,L 14-21,--,7.7,19th,26.3,92.6,-3.2,24.8,8.3,--
49ers D/ST,SF,D/ST,FA,,Ari,W 16-15,--,6,21st,25.8,33.4,-17.5,21,7,--
Jaylen Waddle,Mia,WR,FA,,@Buf,L 21-31,--,14.9,7th,25.3,90.9,-0.6,39.7,13.2,--
J.K. Dobbins,Den,RB,FA,,@LAC,L 20-23,--,15.3,3rd,25.1,86,1.1,45.6,15.2,--
Matt Gay,Wsh,K,FA,,LV,W 41-24,--,13,10th,24.2,29.4,-7.4,20,6.7,--
Isiah Pacheco,KC,RB,FA,,@NYG,W 22-9,--,5.8,32nd,23.3,88.6,-3,14.5,4.8,--
Jayden Daniels,Wsh,QB,FA,,LV,W 41-24,--,--,18th,22.2,99.8,-0.1,39.82,19.9,--
Bengals D/ST,Cin,D/ST,FA,,@Min,L 10-48,--,-1,32nd,21.7,22.9,20.8,8,2.7,--
Jacory Croskey-Merritt,Wsh,RB,FA,,LV,W 41-24,--,10.1,5th,21.7,84.3,1.3,26,8.7,--
Travis Hunter,Jax,WR,FA,,Hou,W 17-10,--,3.1,23rd,21.5,91.1,-2.8,17.6,5.9,--
Nick Chubb,Hou,RB,FA,,@Jax,L 10-17,--,7,9th,21,78.3,4.5,28.2,9.4,--
Cardinals D/ST,Ari,D/ST,FA,,@SF,L 15-16,--,5,18th,20.6,27.9,-26.4,21,7,--
Chris Olave,NO,WR,FA,,@Sea,L 13-44,--,15.7,1st,19.6,86.7,-0.7,39.5,13.2,--
Ricky Pearsall,SF,WR,FA,,Ari,W 16-15,--,19.7,22nd,19.3,85,-2.2,43.7,14.6,--
Rams D/ST,LAR,D/ST,FA,,@Phi,L 26-33,--,7,9th,19.3,32.7,-32.2,28,9.3,--
Rhamondre Stevenson,NE,RB,FA,,Pit,L 14-21,--,4.6,19th,19.2,81.9,4,30.5,10.2,--
Chiefs D/ST,KC,D/ST,FA,,@NYG,W 22-9,--,13,8th,18.6,22.5,10.1,19,6.3,--
Jonnu Smith,Pit,TE,FA,,@NE,W 21-14,--,5.3,18th,18.2,40.3,5.9,24.5,8.2,--
Hunter Henry,NE,TE,FA,,Pit,L 14-21,--,29,17th,16.7,48.9,-9.8,41.5,13.8,--
Hollywood Brown,KC,WR,FA,,@NYG,W 22-9,--,8.2,32nd,15.9,70.9,-5.8,36.1,12,--
Cooper Kupp,Sea,WR,FA,,NO,W 44-13,--,5.1,10th,15.6,84.3,0.2,24.6,8.2,--
Harold Fannin Jr.,Cle,TE,FA,,GB,W 13-10,--,5.5,28th,15.4,39.3,11.6,28.9,9.6,--
Tyler Bass,Buf,K,FA,,Mia,W 31-21,--,--,27th,15.3,39.4,-4.3,--,--,--
Michael Pittman Jr.,Ind,WR,FA,,@Ten,W 41-20,--,19.3,28th,15.1,84.9,-1.1,47.3,15.8,--
Wil Lutz,Den,K,FA,,@LAC,L 20-23,--,9,25th,14.4,16.6,-6.8,20,6.7,--
Evan Engram,Den,TE,FA,,@LAC,L 20-23,--,--,22nd,13.7,65.8,-18,7.3,3.7,--
C.J. Stroud,Hou,QB,FA,,@Jax,L 10-17,--,10.36,16th,13.7,56.5,-5.6,34.06,11.4,--
Wan'Dale Robinson,NYG,WR,FA,,KC,L 9-22,--,3.6,25th,13.1,59.1,29.2,43.3,14.4,--
Tyrone Tracy Jr.,NYG,RB,FA,,KC,L 9-22,--,5.6,6th,13,82.6,-5.3,20.2,6.7,--
Brandon McManus,GB,K,FA,,@Cle,L 10-13,--,3,12th,12.9,15.1,1.5,22,7.3,--
Michael Penix Jr.,Atl,QB,FA,,@Car,L 0-30,--,3.78,3rd,12.7,31.2,3,33.1,11,--
Evan McPherson,Cin,K,FA,,@Min,L 10-48,--,5,26th,12.6,15.1,-3.8,17,5.7,--
Dallas Goedert,Phi,TE,FA,,LAR,W 33-26,--,10.3,16th,12.2,68.6,-3.7,21.7,10.9,--
player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
Joe Burrow,Cin,QB,FA,,@Min,L 10-48,--,--,10th,12.1,80.2,-19.6,15.86,7.9,--
George Kittle,SF,TE,FA,,Ari,W 16-15,--,--,29th,12,98,-1.7,12.5,12.5,--
Trevor Lawrence,Jax,QB,FA,,Hou,W 17-10,--,7.78,17th,12,35,-1.5,37.34,12.4,--
Matthew Stafford,LAR,QB,FA,,@Phi,L 26-33,--,13.84,11th,11.3,37.3,3.8,44.76,14.9,--
Cam Skattebo,NYG,RB,FA,,KC,L 9-22,--,24.1,6th,11,78.9,7.8,40.9,13.6,--
Russell Wilson,NYG,QB,FA,,KC,L 9-22,--,5.1,24th,10.5,20.6,17.1,46.52,15.5,--
Commanders D/ST,Wsh,D/ST,FA,,LV,W 41-24,--,10,26th,10.3,13.4,1.1,17,5.7,--
Stefon Diggs,NE,WR,FA,,Pit,L 14-21,--,5.3,20th,9.3,84,-3.4,24.2,8.1,--
Chargers D/ST,LAC,D/ST,FA,,Den,W 23-20,--,4,17th,9.2,12.4,5.6,20,6.7,--
Colston Loveland,Chi,TE,FA,,Dal,W 31-14,--,4.1,14th,8.9,50.8,-18.6,7.3,2.4,--
Xavier Worthy,KC,WR,FA,,@NYG,W 22-9,--,--,32nd,8.8,94.1,-0.8,0,0,--
Khalil Shakir,Buf,WR,FA,,Mia,W 31-21,--,14.5,12th,8.4,75.5,-3.8,29.1,9.7,--
Jets D/ST,NYJ,D/ST,FA,,@TB,L 27-29,--,9,13th,8.2,12.1,-2.8,11,3.7,--
Jason Sanders,Mia,K,FA,,@Buf,L 21-31,--,--,20th,8.1,14,-1.5,--,--,--
Quinshon Judkins,Cle,RB,FA,,GB,W 13-10,--,16.5,8th,8,69.5,12.2,26.6,13.3,--
Troy Franklin,Den,WR,FA,,@LAC,L 20-23,--,2.8,11th,8,49.4,47.4,35.2,11.7,--
Jason Myers,Sea,K,FA,,NO,W 44-13,--,17,21st,8,9.7,-0.9,33,11,--
Joshua Karty,LAR,K,FA,,@Phi,L 26-33,--,15,12th,7.6,9.7,-0.8,26,8.7,--
RJ Harvey,Den,RB,FA,,@LAC,L 20-23,--,4.6,3rd,7.5,81.1,-6.9,15.9,5.3,--
Aaron Rodgers,Pit,QB,FA,,@NE,W 21-14,--,11.66,21st,7.1,21,0.4,47.74,15.9,--
